id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1580953605150212096,1580941355484082176,2022-10-14 17:08:06 BST,2022-10-14,17:08:06,+0100,793898629144641537,dhcfry,Derek Fry,,@chhcalling @trussliz @Conservatives Delusional!,da,[],[],[],0,0,1,[],[],https://twitter.com/DhcFry/status/1580953605150212096,False,,0,,Swindon,,,,,,"[{'screen_name': 'chhcalling', 'name': 'Chris Heaton-Harris MP', 'id': '80943076'}, {'screen_name': 'trussliz', 'name': 'Liz Truss', 'id': '65357102'}, {'screen_name': 'Conservatives', 'name': 'Conservatives', 'id': '14281853'}]",,,,
1580953491853348869,1580941355484082176,2022-10-14 17:07:39 BST,2022-10-14,17:07:39,+0100,301303404,deanmcmackin,Dean McMackin,,@trussliz  https://t.co/G7sY6HYaR1,qme,[],[],['https://pbs.twimg.com/tweet_video_thumb/FfCs0SKXoAABy2D.jpg'],0,0,0,[],[],https://twitter.com/DeanMcMackin/status/1580953491853348869,False,,1,https://pbs.twimg.com/tweet_video_thumb/FfCs0SKXoAABy2D.jpg,Swindon,,,,,,[],,,,
1580953435746504706,1580941355484082176,2022-10-14 17:07:26 BST,2022-10-14,17:07:26,+0100,793898629144641537,dhcfry,Derek Fry,,@trussliz You are out of your depth. Call a General Election and go now before you do any more damage to the country.#TrussOut,en,[],[],[],0,0,0,['trussout'],[],https://twitter.com/DhcFry/status/1580953435746504706,False,,0,,Swindon,,,,,,"[{'screen_name': 'trussliz', 'name': 'Liz Truss', 'id': '65357102'}]",,,,
1580952920136114176,1580952920136114176,2022-10-14 17:05:23 BST,2022-10-14,17:05:23,+0100,458134033,riversstuart,Stuart Rivers,,#LizTruss would be out of her depth in the shallow end of a very small puddle. #LizTrussOut #Partygate #JohnsonLiedPeopleDied #ToryCriminals #ToryCorruption #GeneralElectionNow,en,[],[],[],0,0,0,"['liztruss', 'liztrussout', 'partygate', 'johnsonliedpeopledied', 'torycriminals', 'torycorruption', 'generalelectionnow']",[],https://twitter.com/RiversStuart/status/1580952920136114176,False,,0,,Swindon,,,,,,[],,,,
1580952647644811265,1580941355484082176,2022-10-14 17:04:18 BST,2022-10-14,17:04:18,+0100,1118900898246406146,chrisfelthamuk,Chris F 🇺🇦,,"@trussliz When you *decisively* keep changing your mind on things time after time…that’s not leadership. That’s a succession of bad decisions, followed by panic.  You are clearly not competent to lead this country. Get out of the way, and let a grown up take charge.  https://t.co/zpOH11MclN",en,[],[],['https://pbs.twimg.com/tweet_video_thumb/FfCsDMeXgAQW99v.jpg'],0,0,0,[],[],https://twitter.com/chrisfelthamuk/status/1580952647644811265,False,,1,https://pbs.twimg.com/tweet_video_thumb/FfCsDMeXgAQW99v.jpg,Swindon,,,,,,"[{'screen_name': 'trussliz', 'name': 'Liz Truss', 'id': '65357102'}]",,,,
1580951308357361667,1580944593000202242,2022-10-14 16:58:59 BST,2022-10-14,16:58:59,+0100,8641742,jimrobbins,Jim Robbins,,@RobertBuckland @trussliz @Jeremy_Hunt @Conservatives I think you have demonstrated that you have long forgotten what the national interest is. How do you feel about shifting your allegiance to Truss now?   #SwindonDeservesBetter,en,[],[],[],3,4,35,['swindondeservesbetter'],[],https://twitter.com/jimrobbins/status/1580951308357361667,False,,0,,Swindon,,,,,,"[{'screen_name': 'RobertBuckland', 'name': 'Robert Buckland', 'id': '14284260'}, {'screen_name': 'trussliz', 'name': 'Liz Truss', 'id': '65357102'}, {'screen_name': 'Jeremy_Hunt', 'name': 'Jeremy Hunt', 'id': '112398730'}, {'screen_name': 'Conservatives', 'name': 'Conservatives', 'id': '14281853'}]",,,,
1580950397359132679,1580928986535800833,2022-10-14 16:55:22 BST,2022-10-14,16:55:22,+0100,1029795238632669185,davidshaw291,Davidshaw29,,@Conservatives @trussliz Resign immediately and call a general election you have NO mandate,en,[],[],[],0,0,0,[],[],https://twitter.com/Davidshaw291/status/1580950397359132679,False,,0,,Swindon,,,,,,"[{'screen_name': 'Conservatives', 'name': 'Conservatives', 'id': '14281853'}, {'screen_name': 'trussliz', 'name': 'Liz Truss', 'id': '65357102'}]",,,,
1580950264541982722,1580947955896680452,2022-10-14 16:54:50 BST,2022-10-14,16:54:50,+0100,1029795238632669185,davidshaw291,Davidshaw29,,@pimlicat Resign immediately and call a general election you coward Liz Truss.,en,[],[],[],0,0,0,[],[],https://twitter.com/Davidshaw291/status/1580950264541982722,False,,0,,Swindon,,,,,,"[{'screen_name': 'pimlicat', 'name': 'Naomi Smith', 'id': '19491239'}]",,,,
1580949762689273857,1580941355484082176,2022-10-14 16:52:50 BST,2022-10-14,16:52:50,+0100,458134033,riversstuart,Stuart Rivers,,@trussliz You may as well have given this press conference as opposed to the shambles I watched. #LizTrussOut #Partygate #JohnsonLiedPeopleDied #ToryCriminals #ToryCorruption #GeneralElectionNow  https://t.co/wSsMvHIbdG,en,[],[],[],0,0,0,"['liztrussout', 'partygate', 'johnsonliedpeopledied', 'torycriminals', 'torycorruption', 'generalelectionnow']",[],https://twitter.com/RiversStuart/status/1580949762689273857,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1580949743215300608/pu/img/tQrLTzsZYQYgRrqX.jpg,Swindon,,,,,,"[{'screen_name': 'trussliz', 'name': 'Liz Truss', 'id': '65357102'}]",,,,
1580949705902592000,1580944593000202242,2022-10-14 16:52:37 BST,2022-10-14,16:52:37,+0100,355361179,neilgunit,Neil Gutteridge,,"@RobertBuckland @trussliz @Jeremy_Hunt @Conservatives I remember going to the hustings when you lost in 2005 and you seemed a decent man. I look at you now, defending this corrupt garbage, and I wonder what happened to you. It’s a sad sight and I, like many other South Swindonians, can’t wait to vote you out.",en,[],[],[],0,1,15,[],[],https://twitter.com/neilgunit/status/1580949705902592000,False,,0,,Swindon,,,,,,"[{'screen_name': 'RobertBuckland', 'name': 'Robert Buckland', 'id': '14284260'}, {'screen_name': 'trussliz', 'name': 'Liz Truss', 'id': '65357102'}, {'screen_name': 'Jeremy_Hunt', 'name': 'Jeremy Hunt', 'id': '112398730'}, {'screen_name': 'Conservatives', 'name': 'Conservatives', 'id': '14281853'}]",,,,
